X1,X2,X3,X4,Tavg,Trip,Tcog,Navg,Nrip,Ncog
9.925,11.075,16.075,14.075,1437.3,19.75,20.68,0.19494328922495305,0.42138364779874216,0.3857142857142855
9.925,11.075,16.075,14.15,1447.18,19.56,20.54,0.42840264650283877,0.36163522012578575,0.18571428571428447
9.925,11.075,16.15,13.85,1462.69,18.89,20.7,0.7948960302457503,0.15094339622641526,0.4142857142857135
9.925,11.075,16.15,13.925,1446.69,19.27,20.66,0.4168241965973565,0.2704402515723269,0.3571428571428575
9.925,11.075,16.15,14.0,1448.67,19.13,20.53,0.46361058601134564,0.2264150943396223,0.171428571428573
9.925,11.075,16.15,14.075,1436.62,19.78,20.59,0.1788752362948948,0.43081761006289343,0.257142857142857
9.925,11.075,16.15,14.15,1447.37,19.33,20.56,0.43289224952740935,0.28930817610062837,0.21428571428571247
9.925,11.15,15.85,13.85,1440.74,20.37,20.8,0.276228733459359,0.6163522012578619,0.5571428571428585
9.925,11.15,15.85,13.925,1440.86,20.72,20.88,0.27906427221171937,0.7264150943396223,0.6714285714285705
9.925,11.15,15.85,14.0,1442.13,20.93,20.82,0.30907372400756555,0.7924528301886792,0.5857142857142865
9.925,11.15,15.85,14.075,1440.29,21.16,20.74,0.2655954631379968,0.8647798742138365,0.4714285714285695
9.925,11.15,15.85,14.15,1439.0,21.5,20.69,0.23511342155009596,0.9716981132075472,0.400000000000002
9.925,11.15,15.924999999999999,13.85,1442.23,20.4,20.88,0.31143667296786587,0.6257861635220121,0.6714285714285705
9.925,11.15,15.924999999999999,13.925,1439.95,20.4,20.8,0.2575614366729704,0.6257861635220121,0.5571428571428585
9.925,11.15,15.924999999999999,14.0,1442.33,20.74,20.82,0.3137996219281662,0.7327044025157228,0.5857142857142865
9.925,11.15,15.924999999999999,14.075,1440.33,20.94,20.7,0.26654064272211697,0.7955974842767299,0.4142857142857135
9.925,11.15,15.924999999999999,14.15,1437.85,21.23,20.68,0.2079395085066155,0.8867924528301888,0.3857142857142855
9.925,11.15,16.0,13.85,1448.93,19.74,20.64,0.4697542533081318,0.41823899371069134,0.3285714285714295
9.925,11.15,16.0,13.925,1440.26,20.25,20.78,0.26488657844990676,0.5786163522012578,0.5285714285714306
9.925,11.15,16.0,14.0,1450.63,19.89,20.63,0.5099243856332747,0.4654088050314467,0.314285714285713
9.925,11.15,16.0,14.075,1449.14,20.29,20.56,0.4747164461247679,0.5911949685534589,0.21428571428571247
9.925,11.15,16.0,14.15,1439.2,21.02,20.64,0.23983931947070194,0.820754716981132,0.3285714285714295
9.925,11.15,16.075,13.85,1440.97,20.06,20.73,0.28166351606805506,0.5188679245283014,0.457142857142858
9.925,11.15,16.075,13.925,1440.15,20.02,20.69,0.2622873345935764,0.5062893081761005,0.400000000000002
9.925,11.15,16.075,14.0,1443.05,20.22,20.71,0.33081285444234454,0.5691823899371066,0.42857142857143005
9.925,11.15,16.075,14.075,1449.73,20.08,20.53,0.4886578449905504,0.525157232704402,0.171428571428573
